,pytesseract
kbaa-p070:token_sort_ratio,96.49502379922112
kbaa-p058:dist_char,338
kbaa-p058:doc_len,3546
kbaa-p058:cer_pct,9.531866892272983
kbaa-p058:wer_pct,15.055762081784389
kbaa-p058:token_sort_ratio,96.89096482265363
kbaa-p069:dist_char,381
kbaa-p069:doc_len,3702
kbaa-p069:cer_pct,10.291734197730957
kbaa-p069:wer_pct,17.301038062283737
kbaa-p069:token_sort_ratio,95.43720864528889
kbaa-p096:dist_char,456
kbaa-p096:doc_len,3698
kbaa-p096:cer_pct,12.33098972417523
kbaa-p096:wer_pct,17.525773195876287
kbaa-p096:token_sort_ratio,96.3710242398767
kbaa-p121:dist_char,331
kbaa-p121:doc_len,3700
kbaa-p121:cer_pct,8.945945945945946
kbaa-p121:wer_pct,11.844331641285956
kbaa-p121:token_sort_ratio,97.80343565192904
kbaa-p068:dist_char,403
kbaa-p068:doc_len,3590
kbaa-p068:cer_pct,11.225626740947076
kbaa-p068:wer_pct,16.75485008818342
kbaa-p068:token_sort_ratio,95.88370754173863
kbaa-p043:dist_char,273
kbaa-p043:doc_len,3612
kbaa-p043:cer_pct,7.55813953488372
kbaa-p043:wer_pct,12.658227848101266
kbaa-p043:token_sort_ratio,98.28406633020909
kbaa-p124:dist_char,348
kbaa-p124:doc_len,3667
kbaa-p124:cer_pct,9.490046359421871
kbaa-p124:wer_pct,14.675767918088736
kbaa-p124:token_sort_ratio,97.61333145036012
kbaa-p119:dist_char,311
kbaa-p119:doc_len,3736
kbaa-p119:cer_pct,8.32441113490364
kbaa-p119:wer_pct,13.210702341137123
kbaa-p119:token_sort_ratio,98.10479375696767
kbaa-p009:dist_char,362
kbaa-p009:doc_len,3680
kbaa-p009:cer_pct,9.83695652173913
kbaa-p009:wer_pct,18.781725888324875
kbaa-p009:token_sort_ratio,96.0887498222159
kbaa-p008:dist_char,403
kbaa-p008:doc_len,3644
kbaa-p008:cer_pct,11.05927552140505
kbaa-p008:wer_pct,21.6696269982238
kbaa-p008:token_sort_ratio,93.5483870967742
kbaa-p151:dist_char,356
kbaa-p151:doc_len,3499
kbaa-p151:cer_pct,10.174335524435554
kbaa-p151:wer_pct,15.963302752293579
kbaa-p151:token_sort_ratio,96.74223089626183
__ALL__:dist_char,14379
__ALL__:doc_len,156416
__ALL__:cer_pct,9.192793576104746
__ALL__:wer_pct,14.774840326623009
__ALL__:token_sort_ratio,96.80925409492369
