,pytesseract
kbaa-p070:token_sort_ratio,97.24398027270091
kbaa-p058:dist_char,300
kbaa-p058:doc_len,3545
kbaa-p058:cer_pct,8.46262341325811
kbaa-p058:wer_pct,12.267657992565056
kbaa-p058:token_sort_ratio,97.55096055140051
kbaa-p069:dist_char,385
kbaa-p069:doc_len,3657
kbaa-p069:cer_pct,10.527754990429314
kbaa-p069:wer_pct,16.230366492146597
kbaa-p069:token_sort_ratio,95.19613416714043
kbaa-p096:dist_char,425
kbaa-p096:doc_len,3671
kbaa-p096:cer_pct,11.577226913647507
kbaa-p096:wer_pct,15.889464594127805
kbaa-p096:token_sort_ratio,98.03038829487902
kbaa-p121:dist_char,334
kbaa-p121:doc_len,3700
kbaa-p121:cer_pct,9.027027027027026
kbaa-p121:wer_pct,12.351945854483926
kbaa-p121:token_sort_ratio,97.63513513513513
kbaa-p068:dist_char,399
kbaa-p068:doc_len,3556
kbaa-p068:cer_pct,11.220472440944881
kbaa-p068:wer_pct,16.163410301953817
kbaa-p068:token_sort_ratio,96.31129755533053
kbaa-p043:dist_char,266
kbaa-p043:doc_len,3612
kbaa-p043:cer_pct,7.3643410852713185
kbaa-p043:wer_pct,11.211573236889691
kbaa-p043:token_sort_ratio,99.00504686373468
kbaa-p124:dist_char,349
kbaa-p124:doc_len,3667
kbaa-p124:cer_pct,9.51731660758113
kbaa-p124:wer_pct,14.675767918088736
kbaa-p124:token_sort_ratio,97.57130754024287
kbaa-p119:dist_char,310
kbaa-p119:doc_len,3736
kbaa-p119:cer_pct,8.297644539614561
kbaa-p119:wer_pct,13.043478260869565
kbaa-p119:token_sort_ratio,98.11846689895471
kbaa-p009:dist_char,366
kbaa-p009:doc_len,3680
kbaa-p009:cer_pct,9.945652173913043
kbaa-p009:wer_pct,18.44331641285956
kbaa-p009:token_sort_ratio,95.99431818181819
kbaa-p008:dist_char,410
kbaa-p008:doc_len,3644
kbaa-p008:cer_pct,11.251372118551043
kbaa-p008:wer_pct,21.136767317939608
kbaa-p008:token_sort_ratio,93.44566614308154
kbaa-p151:dist_char,350
kbaa-p151:doc_len,3499
kbaa-p151:cer_pct,10.002857959416977
kbaa-p151:wer_pct,15.045871559633028
kbaa-p151:token_sort_ratio,97.34114465975665
__ALL__:dist_char,14259
__ALL__:doc_len,155972
__ALL__:cer_pct,9.14202549175493
__ALL__:wer_pct,14.5102487239731
__ALL__:token_sort_ratio,96.8521937337128
