,pytesseract
kbaa-p100:dist_char,245
kbaa-p100:doc_len,3508
kbaa-p100:cer_pct,6.984036488027366
kbaa-p100:wer_pct,8.452950558213717
kbaa-p100:token_sort_ratio,98.50448654037886
kbaa-p101:dist_char,239
kbaa-p101:doc_len,3419
kbaa-p101:cer_pct,6.990348054986837
kbaa-p101:wer_pct,10.38961038961039
kbaa-p101:token_sort_ratio,97.45762711864407
kbaa-p106:dist_char,247
kbaa-p106:doc_len,3430
kbaa-p106:cer_pct,7.201166180758017
kbaa-p106:wer_pct,10.033444816053512
kbaa-p106:token_sort_ratio,98.01016702977488
kbaa-p107:dist_char,232
kbaa-p107:doc_len,3283
kbaa-p107:cer_pct,7.066707279926897
kbaa-p107:wer_pct,8.823529411764707
kbaa-p107:token_sort_ratio,98.72068230277186
kbaa-p113:dist_char,242
kbaa-p113:doc_len,3335
kbaa-p113:cer_pct,7.256371814092953
kbaa-p113:wer_pct,9.060402684563758
kbaa-p113:token_sort_ratio,98.56028794241152
kbaa-p114:dist_char,258
kbaa-p114:doc_len,3191
kbaa-p114:cer_pct,8.085239736759636
kbaa-p114:wer_pct,12.18274111675127
kbaa-p114:token_sort_ratio,97.70204783492262
kbaa-p115:dist_char,259
kbaa-p115:doc_len,3382
kbaa-p115:cer_pct,7.658190419869899
kbaa-p115:wer_pct,11.074380165289256
kbaa-p115:token_sort_ratio,98.03341712257874
kbaa-p119:dist_char,215
kbaa-p119:doc_len,3402
kbaa-p119:cer_pct,6.3198118753674315
kbaa-p119:wer_pct,7.57825370675453
kbaa-p119:token_sort_ratio,99.19177075679647
kbaa-p121:dist_char,247
kbaa-p121:doc_len,3352
kbaa-p121:cer_pct,7.36873508353222
kbaa-p121:wer_pct,10.149750415973378
kbaa-p121:token_sort_ratio,98.1081483688366
kbaa-p124:dist_char,228
kbaa-p124:doc_len,3350
kbaa-p124:cer_pct,6.8059701492537314
kbaa-p124:wer_pct,8.768971332209107
kbaa-p124:token_sort_ratio,99.44833755777546
kbaa-p151:dist_char,249
kbaa-p151:doc_len,3148
kbaa-p151:cer_pct,7.909783989834816
kbaa-p151:wer_pct,11.879432624113475
kbaa-p151:token_sort_ratio,97.7622599587367
__ALL__:dist_char,12428
__ALL__:doc_len,141889
__ALL__:cer_pct,8.758959468316784
__ALL__:wer_pct,12.352126607319486
__ALL__:token_sort_ratio,98.29585240808055
