,pytesseract
kbaa-p096:token_sort_ratio,95.61563244151841
kbaa-p100:dist_char,348
kbaa-p100:doc_len,3854
kbaa-p100:cer_pct,9.029579657498703
kbaa-p100:wer_pct,12.234910277324634
kbaa-p100:token_sort_ratio,97.63864525705033
kbaa-p101:dist_char,336
kbaa-p101:doc_len,3788
kbaa-p101:cer_pct,8.870116156282998
kbaa-p101:wer_pct,12.9783693843594
kbaa-p101:token_sort_ratio,97.2823837770727
kbaa-p106:dist_char,358
kbaa-p106:doc_len,3754
kbaa-p106:cer_pct,9.536494405966968
kbaa-p106:wer_pct,15.187713310580206
kbaa-p106:token_sort_ratio,96.65887529217653
kbaa-p107:dist_char,340
kbaa-p107:doc_len,3602
kbaa-p107:cer_pct,9.439200444197668
kbaa-p107:wer_pct,13.684210526315791
kbaa-p107:token_sort_ratio,97.53566796368352
kbaa-p113:dist_char,340
kbaa-p113:doc_len,3690
kbaa-p113:cer_pct,9.214092140921409
kbaa-p113:wer_pct,11.89655172413793
kbaa-p113:token_sort_ratio,98.25853036953136
kbaa-p114:dist_char,381
kbaa-p114:doc_len,3551
kbaa-p114:cer_pct,10.729372007885104
kbaa-p114:wer_pct,17.06896551724138
kbaa-p114:token_sort_ratio,96.40287769784173
kbaa-p115:dist_char,355
kbaa-p115:doc_len,3709
kbaa-p115:cer_pct,9.571313022377998
kbaa-p115:wer_pct,14.480408858603067
kbaa-p115:token_sort_ratio,97.13884992987377
kbaa-p119:dist_char,312
kbaa-p119:doc_len,3736
kbaa-p119:cer_pct,8.35117773019272
kbaa-p119:wer_pct,13.210702341137123
kbaa-p119:token_sort_ratio,97.84092491990528
kbaa-p121:dist_char,333
kbaa-p121:doc_len,3700
kbaa-p121:cer_pct,9.0
kbaa-p121:wer_pct,12.013536379018612
kbaa-p121:token_sort_ratio,97.84658691062631
kbaa-p124:dist_char,338
kbaa-p124:doc_len,3667
kbaa-p124:cer_pct,9.217343877829288
kbaa-p124:wer_pct,13.139931740614335
kbaa-p124:token_sort_ratio,98.13242784380306
kbaa-p151:dist_char,353
kbaa-p151:doc_len,3499
kbaa-p151:cer_pct,10.088596741926265
kbaa-p151:wer_pct,15.229357798165138
kbaa-p151:token_sort_ratio,97.08708708708708
__ALL__:dist_char,17183
__ALL__:doc_len,156416
__ALL__:cer_pct,10.985449058919803
__ALL__:wer_pct,16.52518392756084
__ALL__:token_sort_ratio,96.89280200181015
